time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
317.695,-0.003853223,-0.01345922,-0.047712,-0.1023143,0.05453223,-0.07272915,0.1107078,0.09517872,-0.2139654,355.8047,356.5533,354.4663,-1.193424,0.7852806,0.5158734,-1.397746,-1.149209,1.689052,-0.3701987,-0.712393,-0.1811572,39.7977,275.421,348.0395,1.348911,0.7156911,0.5405527,-1.535168,1.735556,-1.406401,0.5399387,-0.7464554,-0.1751772,46.31587,94.8429,42.89212,
331.696,-0.003862506,-0.01324706,-0.05169418,-0.09301016,0.06502232,-0.06989353,0.1107092,0.09503287,-0.2147627,355.869,356.4842,354.5021,-1.353927,0.9504958,0.5738573,-1.680856,-1.214475,1.899616,-0.3914323,-0.6965709,-0.1724765,37.41864,276.0471,349.7672,1.542545,0.8918898,0.5996403,-1.879386,1.765606,-1.967353,0.5640699,-0.730628,-0.1657435,44.13357,94.29035,39.83343,
345.269,-0.003993306,-0.01271226,-0.0556257,-0.08580062,0.06963377,-0.04685018,0.1106825,0.09487583,-0.2156191,355.9299,356.4358,354.4775,-1.487616,1.124124,0.6157292,-2.028492,-1.27764,1.940238,-0.4136999,-0.6782416,-0.1632372,34.7341,276.373,351.0347,1.688228,1.074795,0.6480373,-2.115296,1.752069,-2.448275,0.5890962,-0.7123663,-0.1560127,41.94796,93.57285,36.46413,
359.504,-0.00426892,-0.01287809,-0.0592571,-0.08586016,0.07422711,0.001300992,0.1105962,0.09472114,-0.2165208,355.9989,356.3942,354.3716,-1.591218,1.31075,0.6466001,-2.393393,-1.332534,1.954678,-0.4364548,-0.6572693,-0.1538536,31.752,276.6049,352.1158,1.792695,1.26759,0.6871438,-2.338272,1.783914,-2.70171,0.6143883,-0.6913716,-0.1459595,39.48562,92.7756,33.25681,
373.508,-0.004817398,-0.01270951,-0.06226687,-0.08993679,0.06601145,0.03774539,0.1105056,0.09457623,-0.2174311,356.0712,356.3799,354.2923,-1.658864,1.506548,0.6709979,-2.698452,-1.366954,2.05636,-0.459294,-0.6337805,-0.1443678,28.55888,276.9776,353.3199,1.856686,1.465602,0.7161444,-2.539981,1.842637,-2.763099,0.6395752,-0.6678714,-0.1357133,36.7635,91.94373,30.38506,
387.328,-0.005024687,-0.01208549,-0.06416108,-0.09014188,0.04981718,0.04000879,0.1104445,0.09445211,-0.2183428,356.1392,356.3775,354.2715,-1.694705,1.702079,0.6881986,-2.873318,-1.306605,2.293277,-0.482212,-0.6078967,-0.1350445,25.35836,277.51,354.8597,1.885436,1.663799,0.7346794,-2.757624,1.868851,-2.733437,0.6643965,-0.6418653,-0.1254305,33.83318,91.21412,27.82109,
401.379,-0.005107198,-0.01113985,-0.06548012,-0.08491494,0.02948451,0.02401648,0.1103539,0.09432648,-0.2192664,356.1941,356.3893,354.2781,-1.703177,1.888675,0.6871416,-2.965149,-1.085497,2.560432,-0.5046979,-0.5797955,-0.1261431,22.27605,277.9242,356.6509,1.877366,1.886147,0.7481393,-2.921787,1.895472,-2.718073,0.6882332,-0.6125149,-0.1152442,30.79823,90.40908,25.34244,
415.392,-0.006037031,-0.01041083,-0.06560696,-0.08399688,0.009758462,0.01491301,0.1102066,0.09421785,-0.2201591,356.2605,356.4163,354.2659,-1.685326,2.052706,0.6743415,-3.128751,-0.8628029,2.637561,-0.5261518,-0.5498072,-0.1173282,19.06003,278.0982,358.117,1.834929,2.074596,0.7494071,-3.01203,1.872935,-2.848888,0.710929,-0.5818723,-0.1056198,27.79088,89.50097,22.63389,
429.364,-0.007182688,-0.01095449,-0.06524178,-0.08898035,-0.006163267,-0.0009604739,0.1100686,0.09401936,-0.2210431,356.3437,356.446,354.2884,-1.64099,2.22018,0.6570753,-3.340999,-0.6974244,2.653711,-0.5462158,-0.517512,-0.1088929,15.58474,278.2537,359.3698,1.76553,2.25481,0.7387675,-3.133943,1.817825,-2.932916,0.7321372,-0.5492957,-0.09642863,24.64869,88.64172,20.06207,
443.34,-0.008535331,-0.01217957,-0.06422957,-0.1034782,-0.01869199,-0.0359191,0.1099179,0.09381242,-0.2218895,356.4608,356.4755,354.3675,-1.543173,2.433978,0.6262805,-3.606838,-0.5769655,2.71187,-0.563944,-0.4814883,-0.1012984,11.74978,278.5274,0.5559015,1.672522,2.423172,0.7153874,-3.315041,1.694376,-2.875838,0.7516945,-0.5149323,-0.0875342,21.36292,88.01538,17.91418,
457.699,-0.01060266,-0.01265588,-0.06249612,-0.118378,-0.02573403,-0.06190451,0.1097195,0.09367161,-0.2227116,356.584,356.5036,354.4344,-1.440536,2.577275,0.5931726,-3.747997,-0.3624027,2.822465,-0.5804487,-0.445826,-0.0942308,7.964867,278.7757,1.895118,1.558454,2.580985,0.6849077,-3.477922,1.556605,-2.838175,0.7693079,-0.4787187,-0.07929662,17.98998,87.43187,15.89204,
471.221,-0.01267503,-0.01229644,-0.06016934,-0.1148655,-0.02445605,-0.07564961,0.1095138,0.09356611,-0.2234759,356.6653,356.5172,354.4974,-1.287267,2.729122,0.5382396,-3.708196,-0.07368921,2.965649,-0.59404,-0.40751,-0.08828038,4.414281,278.9471,3.470571,1.423793,2.721215,0.6420636,-3.572521,1.38309,-2.935808,0.7848626,-0.4413597,-0.07217793,14.62887,86.84336,13.68696,
