controller_right_pos.x,controller_right_pos.y,controller_right_pos.z
-1.078624,1.606532,0.1425667,
-1.085454,1.612949,0.1452467,
-1.092087,1.618852,0.1479785,
-1.098316,1.624555,0.1507641,
-1.10437,1.629985,0.1536527,
-1.110331,1.63529,0.1562704,
-1.116013,1.640426,0.1587775,
-1.12124,1.645283,0.16128,
-1.126027,1.649402,0.163638,
-1.130048,1.653003,0.1657268,
-1.133607,1.656394,0.1676892,
-1.136599,1.659549,0.1697222,
-1.139324,1.662539,0.1715225,
-1.141863,1.665255,0.1730596,
-1.144051,1.667713,0.1744241,
-1.145834,1.669912,0.1757846,
-1.147535,1.671877,0.1770012,
-1.149191,1.67373,0.1780128,
-1.150721,1.675331,0.1788653,
-1.152119,1.676674,0.1795909,
-1.153067,1.677479,0.1801981,
-1.15378,1.677955,0.1807838,
-1.154598,1.67827,0.1811951,
-1.155474,1.678719,0.1814706,
-1.156233,1.67887,0.1816559,
-1.156819,1.678969,0.1817769,
-1.157184,1.679043,0.1819036,
-1.157417,1.679088,0.1818999,
-1.157422,1.679216,0.1818067,
-1.157266,1.679353,0.1818107,
-1.157325,1.680138,0.181763,
-1.156906,1.680444,0.1818389,
-1.1563,1.680751,0.1815316,
