time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
318.445,-0.08914216,-0.02085407,0.02849548,-0.00752166,0.06619307,0.07200543,0.05933547,0.07427735,-0.2454543,4.847036,358.5191,351.6814,0.5089347,-1.550261,-0.04389669,0.8860198,-1.559091,-3.322595,-0.194277,-0.397883,0.177063,356.1555,338.6224,59.48399,-1.331739,0.89168,-0.2869282,0.224121,-1.334285,-2.922144,0.2177477,0.1512481,0.1668057,331.4776,345.6246,88.05195,
332.885,-0.07997753,-0.02376401,0.02840831,-0.03665589,0.0530135,0.05559772,0.05837989,0.0739132,-0.2450776,4.927196,358.5054,351.653,0.5856115,-1.497442,-0.05491869,0.8938194,-1.47887,-3.286971,-0.1846344,-0.4154733,0.1761431,358.1728,338.8102,61.4985,-1.374662,0.7834229,-0.3011458,0.03889105,-1.326694,-2.699894,0.1992953,0.1600208,0.1623144,332.1984,343.7902,90.11014,
346.603,-0.07128783,-0.02614263,0.02851301,-0.05493001,0.03640018,0.05233345,0.05758286,0.07350975,-0.2446756,4.987728,358.5018,351.6075,0.6549681,-1.448837,-0.06435296,0.8088126,-1.443908,-3.251481,-0.1742548,-0.4322203,0.1750994,0.3422671,338.9593,63.29551,-1.406313,0.6767019,-0.3147933,-0.01350093,-1.309148,-2.685135,0.1808771,0.1673669,0.1578281,332.8547,341.8193,92.46028,
360.207,-0.06305844,-0.02804022,0.02825645,-0.07111359,0.01866613,0.04034839,0.05688405,0.07308853,-0.2443056,5.064833,358.5209,351.5929,0.7177425,-1.399623,-0.07388623,0.7645921,-1.446416,-3.315757,-0.1632617,-0.4479668,0.1738683,2.734252,339.1708,65.15222,-1.421122,0.5783789,-0.3254333,0.05369776,-1.202132,-2.813024,0.1627822,0.1734148,0.1535866,333.2542,339.7654,95.14898,
374.354,-0.05572891,-0.03013245,0.02786054,-0.08568799,0.002691859,0.02876208,0.05622745,0.07256361,-0.2439275,5.146843,358.5527,351.5797,0.7851544,-1.34059,-0.08387843,0.9003797,-1.379058,-3.409489,-0.1512475,-0.4628755,0.1724047,5.026196,339.7041,67.30611,-1.417218,0.4868267,-0.3275345,0.2198934,-1.044599,-3.008855,0.1451719,0.1781411,0.1497239,333.4487,337.7161,98.17545,
388.345,-0.04939107,-0.0323677,0.02701728,-0.09733038,-0.01341566,0.03035566,0.05561781,0.07202312,-0.2436028,5.233138,358.5921,351.5368,0.8605469,-1.263491,-0.09478804,1.085313,-1.251058,-3.31451,-0.1382818,-0.4766136,0.1708235,6.931147,340.5891,69.36314,-1.394476,0.3972944,-0.3166861,0.4802721,-0.863964,-3.163845,0.1279916,0.1815558,0.1463666,333.5372,335.9311,101.3908,
401.971,-0.04311193,-0.03386693,0.02491517,-0.1079166,-0.02223017,0.03332245,0.05512738,0.07152635,-0.2433853,5.329193,358.6245,351.4988,0.9307193,-1.173026,-0.1081414,1.095776,-1.196625,-2.977303,-0.1247055,-0.4888196,0.1690279,8.596371,341.48,70.7645,-1.363386,0.3088869,-0.3007877,0.649398,-0.6828816,-3.230833,0.1112204,0.1836419,0.1432692,333.5521,334.244,104.5179,
416.149,-0.03627932,-0.03302041,0.02188553,-0.1225146,-0.02307508,0.02550967,0.05482745,0.07116553,-0.243154,5.446502,358.6538,351.4926,0.9877415,-1.066736,-0.1203812,1.026402,-1.259341,-2.39437,-0.1108795,-0.4994208,0.1669704,9.99922,342.4428,71.32075,-1.329928,0.2148938,-0.281373,0.6752682,-0.6232213,-3.146224,0.09504709,0.1845037,0.1404579,333.7821,332.6102,107.2471,
430.081,-0.02879455,-0.03140445,0.01903388,-0.1146818,-0.02116843,0.000457478,0.05462337,0.07078152,-0.242979,5.509729,358.6831,351.5354,1.017982,-0.9905773,-0.1328917,0.9668003,-1.286132,-1.999261,-0.09746515,-0.509724,0.1647801,11.32692,343.3708,71.77628,-1.288885,0.1223858,-0.261923,0.6591495,-0.5911927,-2.942597,0.07953435,0.1842119,0.1377719,334.1063,331.1917,109.5582,
444.059,-0.02134301,-0.02797524,0.01535837,-0.1078641,-0.0118306,-0.03088576,0.05446506,0.07051259,-0.2428937,5.593543,358.699,351.6081,1.040912,-0.8874307,-0.1552063,0.915291,-1.228098,-1.7487,-0.08357721,-0.5185633,0.1620119,12.50774,344.2076,72.27592,-1.244782,0.03282803,-0.2470073,0.6204561,-0.5819138,-2.703568,0.06458612,0.1827726,0.1350878,334.502,329.912,111.5678,
